NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"JACKSON HEIGHTS          ","02 TWO FAMILY HOMES     ",95,250000,563843,570000,970000
"FLORAL PARK              ","02 TWO FAMILY HOMES     ",3,495000,520000,505000,560000
"BAYSIDE                  ","02 TWO FAMILY HOMES     ",106,260000,808880,837500,1500000
"BEECHHURST               ","02 TWO FAMILY HOMES     ",7,750000,1107571,1140000,1350000
"BROAD CHANNEL            ","02 TWO FAMILY HOMES     ",1,365000,365000,365000,365000
"OAKLAND GARDENS          ","02 TWO FAMILY HOMES     ",15,738000,977128,950000,1303360
"HAMMELS                  ","02 TWO FAMILY HOMES     ",11,217300,357865,345000,602869
"LAURELTON                ","02 TWO FAMILY HOMES     ",30,215000,398054,412500,635000
"FLUSHING-SOUTH           ","02 TWO FAMILY HOMES     ",68,225000,682688,680000,1150000
"RIDGEWOOD                ","02 TWO FAMILY HOMES     ",98,225000,560136,545000,1415000
"MIDDLE VILLAGE           ","02 TWO FAMILY HOMES     ",63,203241,607008,635000,950000
"JAMAICA BAY              ","02 TWO FAMILY HOMES     ",3,339690,387980,386250,438000
"JAMAICA ESTATES          ","02 TWO FAMILY HOMES     ",2,790000,795000,795000,800000
"WOODHAVEN                ","02 TWO FAMILY HOMES     ",78,203000,448734,423350,980000
"CORONA                   ","02 TWO FAMILY HOMES     ",95,203000,571676,560000,1360000
"ASTORIA                  ","03 THREE FAMILY HOMES   ",47,228105,779489,805000,1492500
"JAMAICA                  ","03 THREE FAMILY HOMES   ",8,404250,677722,632500,937527
"SO. JAMAICA-BAISLEY PARK ","03 THREE FAMILY HOMES   ",1,265000,265000,265000,265000
"FLUSHING-SOUTH           ","03 THREE FAMILY HOMES   ",12,350000,848241,811944,2000000
"SOUTH OZONE PARK         ","03 THREE FAMILY HOMES   ",3,350000,474667,510000,564000
"RICHMOND HILL            ","03 THREE FAMILY HOMES   ",22,350000,510821,520000,740000
"RIDGEWOOD                ","03 THREE FAMILY HOMES   ",34,275000,632794,630000,870000
"GLENDALE                 ","03 THREE FAMILY HOMES   ",16,435000,625119,613750,860000
"HAMMELS                  ","03 THREE FAMILY HOMES   ",1,200000,200000,200000,200000
"CORONA                   ","03 THREE FAMILY HOMES   ",57,306500,661186,677136,1150000
"BELLE HARBOR             ","03 THREE FAMILY HOMES   ",1,498000,498000,498000,498000
"SPRINGFIELD GARDENS      ","03 THREE FAMILY HOMES   ",1,497500,497500,497500,497500
"BRIARWOOD                ","03 THREE FAMILY HOMES   ",6,220000,563333,625000,900000
"ELMHURST                 ","03 THREE FAMILY HOMES   ",58,220000,863840,864250,1400000
"ROCKAWAY PARK            ","03 THREE FAMILY HOMES   ",5,220000,333100,320000,420502
"ARVERNE                  ","03 THREE FAMILY HOMES   ",5,220000,398318,300000,639903
"REGO PARK                ","03 THREE FAMILY HOMES   ",9,625000,860889,880000,1200000
"FRESH MEADOWS            ","03 THREE FAMILY HOMES   ",2,849000,882000,882000,915000
"MIDDLE VILLAGE           ","03 THREE FAMILY HOMES   ",25,230000,671996,700000,877500
"JACKSON HEIGHTS          ","03 THREE FAMILY HOMES   ",38,272000,679184,705000,1050000
"OAKLAND GARDENS          ","03 THREE FAMILY HOMES   ",2,880000,890000,890000,900000
"SOUTH JAMAICA            ","03 THREE FAMILY HOMES   ",15,250000,401110,398500,550000
"HOLLIS                   ","03 THREE FAMILY HOMES   ",11,250000,464618,420000,700000
"FOREST HILLS             ","03 THREE FAMILY HOMES   ",3,345000,968333,1110000,1450000
"JAMAICA HILLS            ","03 THREE FAMILY HOMES   ",2,217000,526000,526000,835000
"ROSEDALE                 ","03 THREE FAMILY HOMES   ",3,270000,343967,375000,386900
"JAMAICA ESTATES          ","03 THREE FAMILY HOMES   ",2,675000,704586,704586,734172
"BAYSIDE                  ","03 THREE FAMILY HOMES   ",15,355000,802833,875000,958000
"WOODHAVEN                ","03 THREE FAMILY HOMES   ",18,207550,463290,457187,665000
"WOODSIDE                 ","03 THREE FAMILY HOMES   ",20,280000,814070,797500,1849529
"FLORAL PARK              ","03 THREE FAMILY HOMES   ",2,568000,624000,624000,680000
"LITTLE NECK              ","03 THREE FAMILY HOMES   ",2,749250,749625,749625,750000
"WHITESTONE               ","03 THREE FAMILY HOMES   ",2,802500,843750,843750,885000
"LONG ISLAND CITY         ","03 THREE FAMILY HOMES   ",6,578000,1154336,975000,1825000
"KEW GARDENS              ","03 THREE FAMILY HOMES   ",4,450000,669500,649500,929000
"FLUSHING-NORTH           ","03 THREE FAMILY HOMES   ",47,263640,916914,900000,1550000
"QUEENS VILLAGE           ","03 THREE FAMILY HOMES   ",5,215000,468400,519000,700000
"SUNNYSIDE                ","03 THREE FAMILY HOMES   ",8,215000,797375,787500,1260000
"EAST ELMHURST            ","03 THREE FAMILY HOMES   ",11,375000,610273,585000,970000
"BELLEROSE                ","03 THREE FAMILY HOMES   ",1,300000,300000,300000,300000
"OZONE PARK               ","03 THREE FAMILY HOMES   ",16,225000,454463,437000,700556
"MASPETH                  ","03 THREE FAMILY HOMES   ",18,225000,587694,617500,870000
"COLLEGE POINT            ","03 THREE FAMILY HOMES   ",15,470000,675467,650000,984999
"QUEENS-UNKNOWN           ","03 THREE FAMILY HOMES   ",1,950000,950000,950000,950000
"HOWARD BEACH             ","03 THREE FAMILY HOMES   ",3,630000,705000,660000,825000
"DOUGLASTON               ","03 THREE FAMILY HOMES   ",1,555000,555000,555000,555000
"FAR ROCKAWAY             ","03 THREE FAMILY HOMES   ",15,207870,357355,285000,930000
